subject,q_type,n,marks
Accountancy,mcq,541,1017
Accountancy,subjective,369,1308
Accountancy,figure-only,49,
Accountancy,assertion-reason,34,63
Accountancy,two-statement,27,40
Agriculture,subjective,42,94
Agriculture,figure-only,9,
Agriculture,mcq,3,10
Air Conditionng Refrigeration,subjective,20,54
Air Conditionng Refrigeration,mcq,2,2
Applied Math,subjective,29,24
Applied Math,mcq,26,24
Applied Math,assertion-reason,5,
Applied Math,figure-only,2,
Applied Mathematics,subjective,9,13
Applied Mathematics,figure-only,4,
Applied Mathematics,assertion-reason,3,6
Applied Maths,subjective,16,11
Applied Maths,mcq,14,
Applied Maths,assertion-reason,3,
Applied Maths,source-based,1,2
Applied Maths,figure-only,1,
Arabic,subjective,22,96
Arabic,source-based,3,20
Arabic,mcq,1,
Artificial Intelligence,subjective,25,30
Artificial Intelligence,two-statement,1,4
Artificial Intelligence,figure-only,1,
Artificial Intelligence,mcq,1,1
Automotive,subjective,34,55
Automotive,figure-only,10,
Automotive,mcq,3,
Banking,subjective,46,55
Banking,figure-only,10,
Banking,mcq,3,22
Beauty And Wellness,figure-only,7,
Beauty And Wellness,subjective,2,7
Beauty And Wellness,source-based,1,4
Beauty Wellness,subjective,30,24
Beauty Wellness,figure-only,6,
Beauty Wellness,mcq,2,4
Bengali,figure-only,4,
Bharatanatyam Dance,subjective,14,65
Bharatanatyam Dance,mcq,8,9
Biology,subjective,601,1954
Biology,mcq,378,252
Biology,assertion-reason,219,305
Biology,source-based,93,339
Biology,figure-only,65,
Biology,ordering,12,23
Biology,matching,4,2
Biology,two-statement,1,
Biotechnology,subjective,46,132
Biotechnology,mcq,31,30
Biotechnology,assertion-reason,17,21
Biotechnology,figure-only,3,
Biotechnology,source-based,1,2
Biotechnology,ordering,1,
Business Administration,subjective,30,81
Business Administration,mcq,1,1
Business Administration,figure-only,1,
Business Studies,mcq,457,429
Business Studies,subjective,450,1711
Business Studies,assertion-reason,47,49
Business Studies,two-statement,43,21
Business Studies,figure-only,32,
Business Studies,ordering,6,
Carnatic Music,subjective,6,8
Carnatic Music,two-statement,1,6
Carnatic Music,matching,1,
Carnatic Music Instl,subjective,12,20
Carnatic Music Instl,mcq,3,3
Carnatic Music Instl,two-statement,2,12
Carnatic Music Instl,matching,1,
Carnatic Music Melodic Instru,subjective,5,18
Carnatic Music Melodic Instru,mcq,1,1
Carnatic Music Melodic Instru,two-statement,1,6
Carnatic Music Melodic Instru,matching,1,1
Carnatic Music Vocal,subjective,14,46
Carnatic Music Vocal,mcq,3,3
Carnatic Music Vocal,two-statement,2,12
Carnatic Music Vocal,matching,1,1
Chemistry,subjective,638,1653
Chemistry,mcq,349,244
Chemistry,assertion-reason,220,341
Chemistry,figure-only,94,
Chemistry,ordering,44,117
Chemistry,source-based,26,67
Chemistry,two-statement,13,29
Commercial Art,subjective,15,63
Commercial Art,assertion-reason,1,6
Commercial Art Theory,mcq,8,19
Commercial Art Theory,subjective,8,20
Commercial Art Theory,assertion-reason,3,4
Commercial Art Theory,figure-only,1,
Computer Science,subjective,78,226
Computer Science,mcq,27,51
Computer Science,assertion-reason,9,7
Computer Science,figure-only,5,
Cost Accounting,subjective,18,7
Cost Accounting,figure-only,5,
Cost Accounting,mcq,1,
Data Science,subjective,23,58
Data Science,assertion-reason,2,13
Data Science,figure-only,1,
Design Thinking Innovation,subjective,12,
Design Thinking Innovation,mcq,1,
Early Childhood Care And Education,figure-only,3,
Early Childhood Care And Education,subjective,2,
Early Childhood Care Edn,figure-only,2,
Early Childhood Care Edn,subjective,1,
Early Childhood Care Educaiton,subjective,25,26
Early Childhood Care Educaiton,mcq,1,
Economics,mcq,436,679
Economics,subjective,374,1298
Economics,two-statement,128,179
Economics,source-based,125,406
Economics,figure-only,113,
Economics,assertion-reason,87,116
Economics,ordering,6,8
Electical Technology,subjective,19,53
Electical Technology,mcq,1,4
Electrical Technology,subjective,35,7
Electrical Technology,figure-only,12,
Electrical Technology,mcq,1,
Electrocics Technology,subjective,11,24
Electrocics Technology,mcq,1,4
Electronics Hardware,subjective,7,18
Electronics Hardware,figure-only,3,
Electronics Hardware,mcq,2,4
Electronics Technology,subjective,20,6
Electronics Technology,figure-only,11,
Electronics Technology,mcq,1,
Engineering Graphics,mcq,29,12
Engineering Graphics,subjective,5,43
Engineering Graphics,figure-only,5,
Engineering Graphics,matching,2,4
English Core,subjective,468,1047
English Core,source-based,147,1015
English Core,mcq,132,429
English Core,assertion-reason,6,36
English Core,two-statement,3,30
English Core,figure-only,1,
English Elective,subjective,59,128
English Elective,source-based,7,54
English Elective,mcq,7,30
English Elective,two-statement,4,40
English Elective,figure-only,1,
Entrepreneurship,subjective,76,217
Entrepreneurship,mcq,48,71
Entrepreneurship,assertion-reason,7,7
Entrepreneurship,figure-only,4,
Entrepreneurship,source-based,3,8
Entrepreneurship,ordering,1,1
Fashion Studies,subjective,54,113
Fashion Studies,mcq,2,5
Fashion Studies,figure-only,2,
Financial Markets Management,subjective,42,55
Financial Markets Management,figure-only,6,
Financial Markets Management,mcq,3,8
Fmm,figure-only,5,
Fmm,subjective,4,
Food Nutrition,subjective,13,36
Food Nutrition,figure-only,2,
Food Nutrition,mcq,1,1
Food Nutrition,assertion-reason,1,1
Food Nutrition And Dietetics,subjective,1,
Food Nutrition And Dietetics,figure-only,1,
Food Nutrition Dietetics,subjective,29,98
Food Nutrition Dietetics,assertion-reason,2,10
Food Production,subjective,50,56
Food Production,figure-only,4,
Food Production,mcq,3,8
French,subjective,1,
French,figure-only,1,
Front Office Operations,subjective,42,56
Front Office Operations,figure-only,10,
Front Office Operations,mcq,2,6
Geography,mcq,386,496
Geography,subjective,255,1072
Geography,source-based,135,465
Geography,figure-only,96,
