subject,papers,questions,high_mark_questions,high_marks,repetition_index,years,n_recurring_topics,n_recurring_formulas
Accountancy,50,1020,109,627,0.493,"2022,2023,2024,2025,2026",9,0
Business Studies,54,1035,119,622,0.158,"2022,2023,2024,2025,2026",3,1
Biology,62,1373,169,929,0.053,"2022,2023,2024,2025,2026",1,0
Chemistry,72,1384,133,884,0.054,"2022,2023,2024,2025,2026",2,0
Economics,61,1269,173,863,0.377,"2022,2023,2024,2025,2026",11,2
English Core,72,757,259,1383,0.0,"2022,2023,2024,2025,2026",0,0
Geography,60,1036,229,1429,0.135,"2022,2023,2024,2025,2026",3,4
History,67,1569,167,1314,0.158,"2022,2023,2024,2025,2026",4,0
Mathematics,62,1072,90,563,0.215,"2022,2023,2024,2025,2026",3,1
Physics,64,1266,120,664,0.444,"2022,2023,2024,2025,2026",7,2
Political Science,60,989,200,1132,0.074,"2022,2023,2024,2025,2026",2,1
