subject,mapped_share,unit,declared_pct,actual_pct,gap
Biology,0.148,VII Genetics and Evolution,26.7,13.3,-13.3
Biology,0.148,VI Reproduction,21.3,2.3,-19.1
Biology,0.148,VIII Biology and Human Welfare,16.0,63.9,47.9
Biology,0.148,IX Biotechnology and its Applications,16.0,16.3,0.3
Biology,0.148,X Ecology and Environment,13.3,2.5,-10.9
Biology,0.148,Identification/Familiarity with the apparatus,6.7,1.8,-4.9
Economics,0.733,Current Challenges facing Indian Economy,33.3,19.1,-14.2
Economics,0.733,Determination of Income and Employment,20.0,17.6,-2.4
Economics,0.733,National Income and Related Aggregates,16.7,21.3,4.6
Economics,0.733,Money and Banking,10.0,13.2,3.2
Economics,0.733,Government Budget and the Economy,10.0,18.8,8.8
Economics,0.733,Balance of Payments,10.0,10.1,0.1
Psychology,0.411,I Variations in Psychological Attributes,18.6,15.5,-3.1
Psychology,0.411,II Self and Personality,18.6,18.6,0.0
Psychology,0.411,IV Psychological Disorders,17.1,13.2,-4.0
Psychology,0.411,III Meeting Life Challenges,12.9,14.7,1.9
Psychology,0.411,V Therapeutic Approaches,12.9,14.0,1.1
Psychology,0.411,VI Attitude and Social Cognition,11.4,15.5,4.1
Psychology,0.411,VII Social Influence and Group Processes,8.6,8.5,-0.0
Accountancy,0.865,Accounting for Partnership Firms,45.0,48.8,3.8
Accountancy,0.865,Accounting for Companies,30.0,38.0,8.0
Accountancy,0.865,Analysis of Financial Statements,15.0,6.7,-8.3
Accountancy,0.865,Cash Flow Statement,10.0,6.5,-3.5
